"lag","mean","q25","q75","n_events","elev_zone","elev_band"
12,0.0903767742632007,-0.140457143942676,0.515059615667637,29,3,"1500–2500 m"
-6,0.249994368379305,0.145299162030625,0.778939950799769,25,4,"2500–3500 m"
-5,0.172522371845257,0.00791922526989022,0.682858294661494,25,4,"2500–3500 m"
-4,0.281080705954711,0.231918797176376,0.772464252545839,25,4,"2500–3500 m"
-3,0.331390166120973,0.254629121314347,0.818352282362924,25,4,"2500–3500 m"
-2,0.303854361907931,0.135596247668063,0.795511872244457,25,4,"2500–3500 m"
-1,0.322657131595703,-0.186893637241915,0.798623870207858,25,4,"2500–3500 m"
0,0.300272747295466,0.089206417442042,0.863018116649755,25,4,"2500–3500 m"
1,0.313306422481455,0.103242858958419,0.772464252545839,25,4,"2500–3500 m"
2,0.383704519526933,0.269980042736176,0.798623870207858,25,4,"2500–3500 m"
3,0.285463006094834,0.346371957218585,0.771201740691242,25,4,"2500–3500 m"
4,0.213985638092709,0.0220253877728643,0.788732648873752,25,4,"2500–3500 m"
5,0.251668544149588,0.215613870454128,0.751400169594081,25,4,"2500–3500 m"
6,0.330617165676344,0.14579907006673,0.788732648873752,25,4,"2500–3500 m"
7,0.333417565204602,0.268334294832398,0.882799189022695,25,4,"2500–3500 m"
8,0.318672715445548,0.226725451883575,0.818821043810923,25,4,"2500–3500 m"
9,0.270867928828435,0.135596247668063,0.763413682739966,25,4,"2500–3500 m"
10,0.259657840900327,0.0948030451148233,0.848857187972887,25,4,"2500–3500 m"
11,0.240924094758618,0.107203551237305,0.786079323317045,25,4,"2500–3500 m"
12,0.310614084406625,0.135596247668063,0.766545032581964,25,4,"2500–3500 m"
-6,-0.208232610938603,-0.641375077336856,0.314245311464645,22,5,">=3500 m"
-5,-0.225968424614057,-0.556772372251194,0.205112124995837,22,5,">=3500 m"
-4,-0.0983577067113178,-0.320411271879862,0.337356698157267,22,5,">=3500 m"
-3,-0.00763716439243309,-0.1455660228399,0.241361714226817,22,5,">=3500 m"
-2,-0.165465097895137,-0.469093526532351,0.112939083620497,22,5,">=3500 m"
-1,-0.147853401984733,-0.334647694328364,0.148889549540325,22,5,">=3500 m"
0,-0.108112396697511,-0.398349269297915,0.361315631954295,22,5,">=3500 m"
1,-0.00873242414671511,-0.31315862002115,0.320175901158954,22,5,">=3500 m"
2,-0.0643484138705825,-0.467575859795596,0.385623894509913,22,5,">=3500 m"
3,-0.12393907001509,-0.450259025790347,0.326849427930948,22,5,">=3500 m"
4,-0.202477158250694,-0.465430164083087,0.134172355013352,22,5,">=3500 m"
5,-0.131186615935867,-0.472962586123238,0.398689897512931,22,5,">=3500 m"
6,-0.108895378203766,-0.479080918360877,0.233869229176176,22,5,">=3500 m"
7,-0.168350950633886,-0.307660748615157,0.20942289960967,22,5,">=3500 m"
8,-0.136104066348217,-0.242336359021972,0.0527002650756104,22,5,">=3500 m"
9,-0.0325239126535294,-0.401265866037915,0.238373945199995,22,5,">=3500 m"
10,-0.0989158890705719,-0.401697663108129,0.26032540876331,22,5,">=3500 m"
11,-0.327551084842962,-0.555023408782627,-0.0986253139063104,22,5,">=3500 m"
12,-0.233871589867446,-0.631570469610724,0.204511052795597,22,5,">=3500 m"
